date,pageview,month-day,year,month_name,month_num,day,z_score
2024-01-01,417672,01-01,2024,January,1,1,-0.20552987600226197
2025-01-01,206501,01-01,2025,January,1,1,-0.38591614235580923
2024-01-02,523028,01-02,2024,January,1,2,0.09176250587744908
2025-01-02,236962,01-02,2025,January,1,2,-0.2237765691820623
2024-01-03,500106,01-03,2024,January,1,3,0.02708146277172433
2025-01-03,234169,01-03,2025,January,1,3,-0.2386433111758995
2024-01-04,531352,01-04,2024,January,1,4,0.11525107593294392
2025-01-04,230059,01-04,2025,January,1,4,-0.26052025696704556
2024-01-05,492726,01-05,2024,January,1,5,0.006256661352989113
2025-01-05,250346,01-05,2025,January,1,5,-0.15253543962763436
2024-01-06,473508,01-06,2024,January,1,6,-0.04797247600002625
2025-01-06,287179,01-06,2025,January,1,6,0.04352138380917406
2024-01-07,537714,01-07,2024,January,1,7,0.13320329634297012
2025-01-07,322143,01-07,2025,January,1,7,0.2296297859117606
2024-01-08,608572,01-08,2024,January,1,8,0.3331496078509295
2025-01-08,416747,01-08,2025,January,1,8,0.7331934305895176
2024-01-09,719428,01-09,2024,January,1,9,0.6459618281863375
2025-01-09,587541,01-09,2025,January,1,9,1.6423056153712692
2024-01-10,757766,01-10,2024,January,1,10,0.7541435675889758
2025-01-10,511183,01-10,2025,January,1,10,1.2358628351473444
2024-01-11,703374,01-11,2024,January,1,11,0.6006608306285631
2025-01-11,369015,01-11,2025,January,1,11,0.4791227793722467
2024-01-12,592290,01-12,2024,January,1,12,0.2872052424444462
2025-01-12,390335,01-12,2025,January,1,12,0.5926061088776564
2024-01-13,492810,01-13,2024,January,1,13,0.006493691613039758
2025-01-13,412029,01-13,2025,January,1,13,0.7080801872214818
2024-01-14,577974,01-14,2024,January,1,14,0.246808513838672
2025-01-14,412459,01-14,2025,January,1,14,0.7103690160998742
2024-01-15,703694,01-15,2024,January,1,15,0.6015638030478037
2025-01-15,391725,01-15,2025,January,1,15,0.6000048812985063
2024-01-16,976884,01-16,2024,January,1,16,1.3724482880863231
2025-01-16,467288,01-16,2025,January,1,16,1.0022159895263334
2024-01-17,832630,01-17,2024,January,1,17,0.9653939650703028
2025-01-17,461814,01-17,2025,January,1,17,0.9730786656186122
2024-01-18,739986,01-18,2024,January,1,18,0.7039721625449227
2025-01-18,350232,01-18,2025,January,1,18,0.3791435402493522
2024-01-19,660724,01-19,2024,January,1,19,0.48031153787665837
2025-01-19,514832,01-19,2025,January,1,19,1.2552859434665395
2024-01-20,510570,01-20,2024,January,1,20,0.05660866088089036
2025-01-20,2080377,01-20,2025,January,1,20,9.588459446775481
2024-01-21,603916,01-21,2024,January,1,21,0.32001135915097945
2025-01-21,2045827,01-21,2025,January,1,21,9.404554707825579
2024-01-22,752360,01-22,2024,January,1,22,0.7388889772814308
2025-01-22,1094063,01-22,2025,January,1,22,4.338450222676106
2024-01-23,748998,01-23,2024,January,1,23,0.7294021233017847
2025-01-23,863393,01-23,2025,January,1,23,3.1106266008649968
2024-01-24,838874,01-24,2024,January,1,24,0.9830132144007341
2025-01-24,675620,01-24,2025,January,1,24,2.1111376125338857
2024-01-25,691242,01-25,2024,January,1,25,0.5664268887841057
2025-01-25,558830,01-25,2025,January,1,25,1.4894810434467936
2024-01-26,560592,01-26,2024,January,1,26,0.1977601807410493
2025-01-26,533004,01-26,2025,January,1,26,1.3520129164389743
2024-01-27,517980,01-27,2024,January,1,27,0.07751811596392938
2025-01-27,492509,01-27,2025,January,1,27,1.1364637875308332
2024-01-28,606398,01-28,2024,January,1,28,0.327015038977714
2025-01-28,490360,01-28,2025,January,1,28,1.125024965996728
2024-01-29,735728,01-29,2024,January,1,29,0.6919569857914031
2025-01-29,447680,01-29,2025,January,1,29,0.8978453926716394
